TimeStamp,Code
4589.9981,resume
4595.1681,pause
4596.7043,resume
4602.6416,pause
4604.6857,resume
4610.9373,pause
4612.53,resume
4618.6177,pause
4619.7438,resume
4625.5812,pause
4627.4249,resume
4633.1572,pause
4634.6949,resume
4640.737,pause
4641.9631,resume
4647.8982,pause
4651.8982,resume
4657.9183,pause
4659.2702,resume
4665.3126,pause
4666.4382,resume
4672.3774,pause
4674.323,resume
4680.2602,pause
4681.7989,resume
4687.942,pause
4689.889,resume
4695.6217,pause
4697.5674,resume
4703.5072,pause
4705.6521,resume
4711.6991,pause
4712.9278,resume
4718.9693,pause
4720.573,resume
4726.6496,pause
4728.5952,resume
4734.5375,pause
4736.89,resume
4742.8292,pause
4745.2081,resume
4751.2196,pause
4753.0711,resume
4759.0078,pause
4761.1588,resume
4767.0983,pause
4768.4264,resume
4774.3699,end
